,rank,title,author,score,vote,rating
218,219,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,score: 440,5 people voted," 4.37 avg rating — 40,381 ratings"
219,220,The Shore of Women,Pamela Sargent,score: 433,6 people voted," 3.83 avg rating — 1,013 ratings"
220,221,"Conflict of Honors (Liaden Universe, #8)",Sharon Lee,score: 428,6 people voted," 4.30 avg rating — 2,463 ratings"
221,221,"The Last Hawk (Saga of the Skolian Empire, #3)",Catherine Asaro,score: 428,6 people voted," 3.92 avg rating — 1,225 ratings"
222,223,"Sapphique (Incarceron, #2)",Catherine Fisher,score: 426,5 people voted," 3.70 avg rating — 20,911 ratings"
223,224,The Stars are Legion,Kameron Hurley,score: 424,5 people voted," 3.66 avg rating — 5,876 ratings"
224,225,"Worldwired (Jenny Casey, #3)",Elizabeth Bear,score: 422,7 people voted, 3.84 avg rating — 857 ratings
225,225,"Rules of Engagement (The Serrano Legacy, #5)",Elizabeth Moon,score: 422,7 people voted," 4.02 avg rating — 3,439 ratings"
226,227,"Walk to the End of the World (Holdfast Chronicles, #1)",Suzy McKee Charnas,score: 421,7 people voted, 3.55 avg rating — 386 ratings
227,228,Serpent's Reach,C.J. Cherryh,score: 418,7 people voted," 3.91 avg rating — 1,205 ratings"
228,229,Planet of Exile (Hainish Cycle #2),Ursula K. Le Guin,score: 417,5 people voted," 3.69 avg rating — 5,567 ratings"
229,230,"Incarceron (Incarceron, #1)",Catherine Fisher,score: 416,5 people voted," 3.64 avg rating — 54,710 ratings"
230,231,The Wall,Marlen Haushofer,score: 413,5 people voted,"really liked it 4.00 avg rating — 4,957 ratings"
231,232,"My Enemy, My Ally (Star Trek: Rihannsu, #1)",Diane Duane,score: 412,5 people voted," 3.97 avg rating — 1,857 ratings"
232,233,"Local Custom (Liaden Universe, #5)",Sharon Lee,score: 411,6 people voted," 4.27 avg rating — 2,318 ratings"
233,234,An Alien Light,Nancy Kress,score: 408,6 people voted, 3.57 avg rating — 314 ratings
234,234,"Yesterday's Son (Star Trek: The Original Series #11; The Yesterday Saga, #1)",A.C. Crispin,score: 408,5 people voted," 3.96 avg rating — 2,320 ratings"
235,236,"Magic Bites (Kate Daniels, #1)",Ilona Andrews,score: 407,5 people voted," 4.07 avg rating — 90,817 ratings"
236,237,Synners,Pat Cadigan,score: 406,5 people voted," 3.72 avg rating — 1,704 ratings"
237,237,"Endgame (Sirantha Jax, #6)",Ann Aguirre,score: 406,5 people voted," 4.03 avg rating — 2,654 ratings"
238,239,"Plan B (Liaden Universe, #11)",Sharon Lee,score: 404,7 people voted," 4.40 avg rating — 2,210 ratings"
239,240,"The Time Quartet Box Set (Time Quartet, #1-4)",Madeleine L'Engle,score: 402,5 people voted," 4.35 avg rating — 10,928 ratings"
240,241,"The Graveyard Game (The Company, #4)",Kage Baker,score: 400,6 people voted," 4.01 avg rating — 1,652 ratings"
241,241,"Aftermath (Sirantha Jax, #5)",Ann Aguirre,score: 400,5 people voted," 4.03 avg rating — 3,160 ratings"
242,241,Seeds,Chris Mandeville,score: 400,4 people voted, 4.08 avg rating — 133 ratings
243,244,"Dakiti (Ziva Payvan, #1)",E.J. Fisch,score: 398,4 people voted, 3.86 avg rating — 154 ratings
244,245,Foreign Identity,Becca J. Campbell,score: 396,4 people voted, 3.97 avg rating — 98 ratings
245,245,"Witch World (Witch World Series 1: Estcarp Cycle, #1)",Andre Norton,score: 396,6 people voted," 3.84 avg rating — 3,981 ratings"
246,245,"Who Fears Death (Who Fears Death, #1)",Nnedi Okorafor,score: 396,5 people voted," 3.96 avg rating — 14,147 ratings"
247,248,The Unit,Ninni Holmqvist,score: 393,5 people voted," 3.72 avg rating — 7,271 ratings"
248,249,"Miles in Love (Vorkosigan Omnibus, #6)",Lois McMaster Bujold,score: 392,7 people voted," 4.52 avg rating — 3,351 ratings"
249,249,Kallocain,Karin Boye,score: 392,4 people voted," 3.80 avg rating — 4,618 ratings"
250,249,"Blackout (All Clear, #1)",Connie Willis,score: 392,6 people voted," 3.83 avg rating — 19,348 ratings"
251,252,Root of the Spark,Michele Fogal,score: 391,4 people voted, 4.03 avg rating — 38 ratings
252,253,The Last Hour of Gann,R. Lee Smith,score: 389,4 people voted," 4.09 avg rating — 4,531 ratings"
253,254,Lagoon,Nnedi Okorafor,score: 388,4 people voted," 3.63 avg rating — 4,498 ratings"
254,255,"Ishmael (Star Trek: The Original Series, #23)",Barbara Hambly,score: 385,5 people voted," 3.93 avg rating — 1,642 ratings"
255,256,Radiance,Catherynne M. Valente,score: 384,5 people voted," 3.76 avg rating — 3,496 ratings"
256,256,"Too Like the Lightning (Terra Ignota, #1)",Ada Palmer,score: 384,4 people voted," 3.82 avg rating — 6,871 ratings"
257,258,"Catch the Lightning (Saga of the Skolian Empire, #2)",Catherine Asaro,score: 383,6 people voted," 3.78 avg rating — 1,393 ratings"
258,259,"Scardown (Jenny Casey, #2)",Elizabeth Bear,score: 378,5 people voted, 3.78 avg rating — 911 ratings
259,260,"The Many-Colored Land (Saga of the Pliocene Exile, #1)",Julian May,score: 376,5 people voted," 4.07 avg rating — 10,660 ratings"
260,260,"The Starbirth Assignment: Transmutes (Starbirth, #1 part 2)",J.M. Johnson,score: 376,4 people voted, 4.55 avg rating — 51 ratings
261,262,"Winter (The Lunar Chronicles, #4)",Marissa Meyer,score: 374,4 people voted," 4.48 avg rating — 155,742 ratings"
262,263,"Wolfwalker (Wolfwalker, #1)",Tara K. Harper,score: 373,4 people voted, 3.99 avg rating — 892 ratings
263,264,"Scout's Progress (Liaden Universe, #6)",Sharon Lee,score: 369,5 people voted," 4.40 avg rating — 2,188 ratings"
264,265,A Tale for the Time Being,Ruth Ozeki,score: 368,4 people voted,"really liked it 4.00 avg rating — 72,939 ratings"
265,266,The Empress of Mars,Kage Baker,score: 366,5 people voted, 3.79 avg rating — 966 ratings
266,267,The Far Side of Evil,Sylvia Engdahl,score: 363,4 people voted, 3.98 avg rating — 480 ratings
267,268,"Clay's Ark (Patternmaster, #3)",Octavia E. Butler,score: 362,4 people voted," 3.83 avg rating — 5,040 ratings"
268,269,"The True Game (Land of the True Game, #1-3)",Sheri S. Tepper,score: 357,5 people voted," 4.20 avg rating — 1,253 ratings"
269,269,The Merro Tree,Katie Waitman,score: 357,5 people voted, 4.27 avg rating — 383 ratings
270,271,A Fisherman of the Inland Sea,Ursula K. Le Guin,score: 354,4 people voted,"really liked it 4.00 avg rating — 1,945 ratings"
271,272,War for the Oaks,Emma Bull,score: 352,5 people voted," 4.02 avg rating — 9,318 ratings"
272,273,Alif the Unseen,G. Willow Wilson,score: 350,4 people voted," 3.84 avg rating — 14,703 ratings"
273,274,Finders Keepers,Linnea Sinclair,score: 349,5 people voted," 3.92 avg rating — 2,933 ratings"
274,275,"The Price of the Stars (Mageworlds, #1)",Debra Doyle,score: 348,5 people voted," 3.90 avg rating — 1,462 ratings"
275,276,"Clean Sweep (Innkeeper Chronicles, #1)",Ilona Andrews,score: 346,4 people voted," 4.19 avg rating — 28,738 ratings"
276,277,"Agent of Change (Liaden Universe, #9)",Sharon Lee,score: 345,6 people voted," 4.16 avg rating — 3,595 ratings"
277,278,"Worlds of Exile and Illusion: Rocannon's World, Planet of Exile, City of Illusions (Hainish Cycle, #1-3)",Ursula K. Le Guin,score: 344,4 people voted," 4.21 avg rating — 2,070 ratings"
278,279,Bone Dance,Emma Bull,score: 343,5 people voted," 3.85 avg rating — 1,535 ratings"
279,280,"Heris Serrano (The Serrano Legacy, #1-3)",Elizabeth Moon,score: 342,4 people voted," 4.16 avg rating — 2,873 ratings"
280,281,"Crossed (Matched, #2)",Ally Condie,score: 341,4 people voted," 3.52 avg rating — 195,731 ratings"
281,282,Beloved,Toni Morrison,score: 339,4 people voted," 3.81 avg rating — 279,756 ratings"
282,283,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",Veronica Roth,score: 338,4 people voted," 4.17 avg rating — 90,230 ratings"
283,284,"Reached (Matched, #3)",Ally Condie,score: 337,4 people voted," 3.56 avg rating — 129,591 ratings"
284,284,"The 100 (The 100, #1)",Kass Morgan,score: 337,4 people voted," 3.57 avg rating — 42,945 ratings"
285,286,Brain Plague,Joan Slonczewski,score: 330,5 people voted, 4.14 avg rating — 404 ratings
286,286,Lincoln's Dreams,Connie Willis,score: 330,4 people voted," 3.52 avg rating — 3,812 ratings"
287,288,The Madness Season,C.S. Friedman,score: 327,4 people voted," 4.05 avg rating — 2,581 ratings"
288,289,"Cruiser Dreams (Kerrion Empire, #2)",Janet E. Morris,score: 326,4 people voted, 4.01 avg rating — 119 ratings
289,290,The Wounded Sky,Diane Duane,score: 323,4 people voted," 3.78 avg rating — 1,694 ratings"
290,291,The Down Home Zombie Blues,Linnea Sinclair,score: 322,5 people voted," 3.63 avg rating — 1,187 ratings"
291,291,City of Illusions,Ursula K. Le Guin,score: 322,5 people voted," 3.85 avg rating — 4,758 ratings"
292,291,"Binti (Binti, #1)",Nnedi Okorafor,score: 322,4 people voted," 3.96 avg rating — 32,485 ratings"
293,294,"The Time Traders (Time Traders/ Ross Murdock, #1)",Andre Norton,score: 321,5 people voted," 3.75 avg rating — 4,141 ratings"
294,295,Ring of Swords,Eleanor Arnason,score: 320,4 people voted, 3.90 avg rating — 290 ratings
295,295,Solitaire,Kelley Eskridge,score: 320,4 people voted," 3.98 avg rating — 1,114 ratings"
296,295,"Two to Conquer (Darkover, #7)",Marion Zimmer Bradley,score: 320,5 people voted," 3.71 avg rating — 2,379 ratings"
297,298,"Enclave (Razorland, #1)",Ann Aguirre,score: 318,4 people voted," 3.92 avg rating — 62,434 ratings"
298,298,"Vast (The Nanotech Succession, #3)",Linda Nagata,score: 318,4 people voted, 3.90 avg rating — 404 ratings
299,300,Time for Yesterday (Star Trek: The Original Series #39),A.C. Crispin,score: 316,4 people voted," 4.04 avg rating — 1,543 ratings"
300,301,The Bees,Laline Paull,score: 315,4 people voted," 3.69 avg rating — 27,655 ratings"
301,302,Uncharted Territory,Connie Willis,score: 310,5 people voted," 3.50 avg rating — 1,315 ratings"
302,303,"Women of Wonder, the Contemporary Years: Science Fiction by Women from the 1970s to the 1990s",Pamela Sargent,score: 306,4 people voted, 4.12 avg rating — 159 ratings
303,304,Wave Without a Shore,C.J. Cherryh,score: 304,4 people voted, 3.70 avg rating — 562 ratings
304,305,"Kiss of Midnight (Midnight Breed,  #1)",Lara Adrian,score: 302,4 people voted," 3.93 avg rating — 56,761 ratings"
305,306,"Clutch (I Am Just Junco, #1)",J.A. Huss,score: 300,3 people voted, 3.67 avg rating — 890 ratings
306,306,"The Prophecy of Arcadia (Arcadian Wars, #1)",M.H. Soars,score: 300,3 people voted, 3.83 avg rating — 144 ratings
307,306,The Founder's Curse (New Zigon #1),Danelle O'Donnell,score: 300,3 people voted, 4.17 avg rating — 18 ratings
308,306,The Time Tourists,Sharleen Nelson,score: 300,3 people voted, 4.92 avg rating — 13 ratings
309,306,Sleeping Together (Perfect Drug #1),Kitty Cook,score: 300,3 people voted, 4.48 avg rating — 66 ratings
310,311,"A World Divided (Darkover Omnibus, #5)",Marion Zimmer Bradley,score: 299,4 people voted, 4.02 avg rating — 486 ratings
311,311,A Gift Upon the Shore,M.K. Wren,score: 299,4 people voted," 3.88 avg rating — 1,247 ratings"
312,311,Fool's War,Sarah Zettel,score: 299,4 people voted, 3.88 avg rating — 499 ratings
313,314,...And the Stars Will Sing,Michelle Browne,score: 298,3 people voted, 3.61 avg rating — 100 ratings
314,314,Bloodline (Forgotten Origins Trilogy #1),Tara Ellis,score: 298,3 people voted, 4.02 avg rating — 340 ratings
315,316,Betrayer (Foreigner #12),C.J. Cherryh,score: 297,4 people voted," 4.28 avg rating — 1,718 ratings"
316,316,"Fledge (I Am Just Junco, #2)",J.A. Huss,score: 297,3 people voted, 4.08 avg rating — 493 ratings
317,316,Heritage (Forgotten Origins Trilogy #2),Tara Ellis,score: 297,3 people voted, 4.39 avg rating — 82 ratings
318,319,"The Outskirter's Secret (The Steerswoman, #2)",Rosemary Kirstein,score: 296,5 people voted," 4.31 avg rating — 1,096 ratings"
319,319,"Forgotten Origins Trilogy - Box Set: Infected, Heritage, Descent",Tara Ellis,score: 296,3 people voted, 4.45 avg rating — 42 ratings
320,321,"Nexus (Ziva Payvan, #2)",E.J. Fisch,score: 295,3 people voted, 4.20 avg rating — 60 ratings
321,322,"Flight (I Am Just Junco, #3)",J.A. Huss,score: 294,3 people voted, 4.11 avg rating — 399 ratings
322,323,"Powers That Be (Petaybee, #1)",Anne McCaffrey,score: 293,4 people voted," 3.87 avg rating — 5,781 ratings"
323,323,We Are All Completely Beside Ourselves,Karen Joy Fowler,score: 293,4 people voted," 3.72 avg rating — 91,613 ratings"
324,325,The Margarets,Sheri S. Tepper,score: 290,4 people voted," 3.87 avg rating — 1,533 ratings"
325,325,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,score: 290,3 people voted," 4.45 avg rating — 395,120 ratings"
326,327,Nautilus,Vonda N. McIntyre,score: 289,4 people voted, 3.77 avg rating — 181 ratings
327,327,Six Wakes,Mur Lafferty,score: 289,3 people voted," 3.84 avg rating — 9,145 ratings"
328,329,"Schism (Saga of the Skolian Empire, #10; The Triad, #1)",Catherine Asaro,score: 287,4 people voted, 3.81 avg rating — 691 ratings
329,330,"The Selection (The Selection, #1)",Kiera Cass,score: 286,3 people voted," 4.14 avg rating — 726,151 ratings"
330,331,"The Sons of Heaven (The Company, #8)",Kage Baker,score: 284,4 people voted," 3.88 avg rating — 1,175 ratings"
331,331,The End of Mr. Y,Scarlett Thomas,score: 284,4 people voted," 3.79 avg rating — 14,274 ratings"
332,333,"Bitch Planet, Vol. 1: Extraordinary Machine",Kelly Sue DeConnick,score: 282,3 people voted," 4.05 avg rating — 20,118 ratings"
333,334,The Golden Nineties,Lisa Mason,score: 281,3 people voted, 3.89 avg rating — 61 ratings
334,335,"Dust (Jacob's Ladder, #1)",Elizabeth Bear,score: 280,4 people voted," 3.65 avg rating — 1,870 ratings"
335,335,Chanur's Homecoming (Chanur #4),C.J. Cherryh,score: 280,5 people voted," 4.15 avg rating — 2,709 ratings"
336,335,Phantom,Susan  Kay,score: 280,3 people voted," 4.33 avg rating — 10,836 ratings"
337,338,"Among the Hidden (Shadow Children, #1)",Margaret Peterson Haddix,score: 279,4 people voted," 3.98 avg rating — 105,567 ratings"
338,338,The Outback Stars (The Outback Stars #1),Sandra McDonald,score: 279,4 people voted, 3.43 avg rating — 918 ratings
339,340,Carnival,Elizabeth Bear,score: 278,4 people voted, 3.59 avg rating — 784 ratings
340,340,"Infomocracy (The Centenal Cycle, #1)",Malka Ann Older,score: 278,3 people voted," 3.54 avg rating — 3,882 ratings"
341,342,"City of Sorcery (Darkover, #14)",Marion Zimmer Bradley,score: 276,4 people voted," 3.77 avg rating — 1,785 ratings"
342,342,"Ascension (Tangled Axon, #1)",Jacqueline Koyanagi,score: 276,3 people voted," 3.57 avg rating — 1,247 ratings"
343,342,Genie-Alogy,H.B.  Morris,score: 276,3 people voted, 4.85 avg rating — 53 ratings
344,345,Rider at the Gate (Finisterre #1),C.J. Cherryh,score: 275,4 people voted, 3.87 avg rating — 957 ratings
345,345,"Reckless Rescue (Barren Planet, #1)",Rinelle Grey,score: 275,3 people voted, 3.53 avg rating — 718 ratings
346,347,Trouble and Her Friends,Melissa Scott,score: 274,3 people voted," 3.81 avg rating — 1,206 ratings"
347,347,The Coldest Girl in Coldtown,Holly Black,score: 274,3 people voted," 3.85 avg rating — 49,072 ratings"
348,349,The First Fifteen Lives of Harry August,Claire North,score: 273,3 people voted," 4.04 avg rating — 53,519 ratings"
349,350,"The Vanishing Girl (The Vanishing Girl, #1)",Laura Thalassa,score: 270,3 people voted," 3.89 avg rating — 4,202 ratings"
350,351,The Fresco,Sheri S. Tepper,score: 269,3 people voted," 3.93 avg rating — 1,837 ratings"
351,351,"Diving into the Wreck (Diving Universe, #1)",Kristine Kathryn Rusch,score: 269,5 people voted," 3.53 avg rating — 1,400 ratings"
352,353,"Women of Wonder, the Classic Years: Science Fiction by Women from the 1940s to the 1970s",Pamela Sargent,score: 267,4 people voted, 4.19 avg rating — 193 ratings
353,353,"Inside Out (Insider, #1)",Maria V. Snyder,score: 267,3 people voted," 3.82 avg rating — 23,227 ratings"
354,355,The Best of All Possible Worlds,Karen Lord,score: 266,3 people voted," 3.59 avg rating — 3,871 ratings"
355,356,"Time of the Twins (Dragonlance: Legends, #1)",Margaret Weis,score: 265,3 people voted," 4.15 avg rating — 30,464 ratings"
356,357,Sarah Canary,Karen Joy Fowler,score: 264,3 people voted," 3.45 avg rating — 1,320 ratings"
357,358,"The Children of the Company (The Company, #6)",Kage Baker,score: 262,4 people voted," 3.85 avg rating — 1,274 ratings"
358,358,"Children of Scarabaeus (Scarabaeus, #2)",Sara Creasy,score: 262,3 people voted," 3.78 avg rating — 1,136 ratings"
359,360,"Perdition (Dred Chronicles, #1)",Ann Aguirre,score: 259,4 people voted," 3.89 avg rating — 3,613 ratings"
360,361,Turnabout,Margaret Peterson Haddix,score: 257,3 people voted," 3.73 avg rating — 6,547 ratings"
361,361,"Queen City Jazz (Nanotech, #1)",Kathleen Ann Goonan,score: 257,3 people voted, 3.46 avg rating — 668 ratings
362,363,"Partners In Necessity (Liaden Universe, #8-10)",Sharon Lee,score: 256,4 people voted," 4.47 avg rating — 1,009 ratings"
363,363,"Extremes (Retrieval Artist, #2)",Kristine Kathryn Rusch,score: 256,4 people voted, 3.96 avg rating — 949 ratings
364,365,"Sabella, or, The Bloodstone",Tanith Lee,score: 255,3 people voted, 3.90 avg rating — 496 ratings
365,365,Redemption in Indigo,Karen Lord,score: 255,3 people voted," 3.85 avg rating — 1,976 ratings"
366,367,The Collected Short Fiction of C.J. Cherryh,C.J. Cherryh,score: 253,4 people voted, 3.97 avg rating — 326 ratings
367,367,"The Bohr Maker (The Nanotech Succession, #1)",Linda Nagata,score: 253,3 people voted, 3.88 avg rating — 882 ratings
368,369,"Gabriel's Ghost (Dock Five Universe, #1)",Linnea Sinclair,score: 251,5 people voted," 3.63 avg rating — 3,502 ratings"
369,370,"The Silver Ship and the Sea (The Silver Ship, #1)",Brenda Cooper,score: 250,3 people voted, 3.63 avg rating — 330 ratings
370,370,"The Declaration (The Declaration, #1)",Gemma Malley,score: 250,3 people voted," 3.71 avg rating — 20,418 ratings"
371,372,Contact,Susan Grant,score: 248,4 people voted," 3.70 avg rating — 1,046 ratings"
372,373,Halfway Human,Carolyn Ives Gilman,score: 247,3 people voted,really liked it 4.00 avg rating — 570 ratings
373,373,Life,Gwyneth Jones,score: 247,3 people voted, 3.47 avg rating — 172 ratings
374,373,"Shades of Dark (Dock Five Universe, #2)",Linnea Sinclair,score: 247,4 people voted," 3.86 avg rating — 1,288 ratings"
375,373,"New Amsterdam (New Amsterdam, #1)",Elizabeth Bear,score: 247,4 people voted," 3.55 avg rating — 1,648 ratings"
376,377,"The Life of the World to Come (The Company, #5)",Kage Baker,score: 246,4 people voted," 3.94 avg rating — 1,484 ratings"
377,377,A Woman of the Iron People,Eleanor Arnason,score: 246,4 people voted, 3.82 avg rating — 448 ratings
378,379,Dark Orbit,Carolyn Ives Gilman,score: 243,3 people voted," 3.67 avg rating — 1,877 ratings"
379,380,La Métamorphose,Franz Kafka,score: 242,3 people voted," 3.80 avg rating — 525,799 ratings"
380,381,My Real Children,Jo Walton,score: 241,3 people voted," 3.77 avg rating — 5,186 ratings"
381,382,"White Queen (White Queen, #1)",Gwyneth Jones,score: 240,3 people voted, 3.37 avg rating — 193 ratings
382,382,"The Romulan Way (Star Trek: Rihannsu, #2)",Diane Duane,score: 240,3 people voted," 3.93 avg rating — 1,347 ratings"
383,382,"Sporting Chance (The Serrano Legacy, #2)",Elizabeth Moon,score: 240,4 people voted," 3.97 avg rating — 3,777 ratings"
384,385,Demons,J.M. Dillard,score: 239,3 people voted, 3.56 avg rating — 981 ratings
385,386,"Day 21 (The 100, #2)",Kass Morgan,score: 238,3 people voted," 3.75 avg rating — 20,322 ratings"
386,387,Double Identity,Margaret Peterson Haddix,score: 237,3 people voted," 4.02 avg rating — 14,724 ratings"
387,388,"Once a Hero (The Serrano Legacy, #4)",Elizabeth Moon,score: 236,4 people voted," 4.06 avg rating — 4,829 ratings"
388,389,"The Forbidden Circle (Darkover Omnibus, #4)",Marion Zimmer Bradley,score: 234,3 people voted," 4.08 avg rating — 1,131 ratings"
389,389,"The Legend of Banzai Maguire (2176 Series, #1)",Susan Grant,score: 234,4 people voted, 3.59 avg rating — 628 ratings
390,391,"Change of Command (The Serrano Legacy, #6)",Elizabeth Moon,score: 228,3 people voted," 3.99 avg rating — 3,137 ratings"
391,392,"Heritage and Exile (Darkover Omnibus, #1)",Marion Zimmer Bradley,score: 227,3 people voted, 4.08 avg rating — 839 ratings
392,392,Alternate Realities,C.J. Cherryh,score: 227,3 people voted, 3.82 avg rating — 283 ratings
393,394,The Mount,Carol Emshwiller,score: 225,3 people voted," 3.69 avg rating — 1,316 ratings"
394,394,"Magic Breaks (Kate Daniels, #7)",Ilona Andrews,score: 225,3 people voted," 4.52 avg rating — 35,132 ratings"
395,394,"The Dragon Variation (Liaden Universe, #5-6,8)",Sharon Lee,score: 225,3 people voted, 4.43 avg rating — 623 ratings
396,397,Mindshadow (Star Trek: The Original Series #27),J.M. Dillard,score: 222,3 people voted, 3.53 avg rating — 748 ratings
397,397,Sultana's Dream: And Selections from The Secluded Ones,Rokeya Sakhawat Hossain,score: 222,3 people voted, 3.88 avg rating — 203 ratings
398,399,"The Adoration of Jenna Fox (Jenna Fox Chronicles, #1)",Mary E. Pearson,score: 221,3 people voted," 3.69 avg rating — 44,519 ratings"
399,400,The Best of Leigh Brackett,Leigh Brackett,score: 220,4 people voted, 4.03 avg rating — 191 ratings
400,401,The Heat Death of the Universe and Other Stories,Pamela Zoline,score: 219,3 people voted, 3.89 avg rating — 107 ratings
401,402,Memory of Water,Emmi Itäranta,score: 217,3 people voted," 3.71 avg rating — 4,682 ratings"
402,403,"Tripoint (The Company Wars, #6)",C.J. Cherryh,score: 215,4 people voted," 3.91 avg rating — 1,149 ratings"
403,403,Bloodthirst,J.M. Dillard,score: 215,3 people voted, 3.56 avg rating — 654 ratings
404,403,The Shadow Speaker,Nnedi Okorafor,score: 215,3 people voted," 3.97 avg rating — 1,034 ratings"
405,403,"Magic Strikes (Kate Daniels, #3)",Ilona Andrews,score: 215,3 people voted," 4.44 avg rating — 65,278 ratings"
406,407,"The Alton Gift (Darkover, #27)",Marion Zimmer Bradley,score: 214,3 people voted," 3.96 avg rating — 1,456 ratings"
407,408,Brown Girl in the Ring,Nalo Hopkinson,score: 213,3 people voted," 3.85 avg rating — 3,901 ratings"
408,409,"A Confederation of Valor (Confederation, #1-2)",Tanya Huff,score: 212,5 people voted," 4.18 avg rating — 1,430 ratings"
409,409,Salvation City,Sigrid Nunez,score: 212,3 people voted, 2.99 avg rating — 671 ratings
410,411,"Finity's End (The Company Wars, #7)",C.J. Cherryh,score: 211,4 people voted," 4.07 avg rating — 1,232 ratings"
411,411,"The Final Key (Saga of the Skolian Empire, #11; The Triad, #2)",Catherine Asaro,score: 211,3 people voted, 3.93 avg rating — 621 ratings
412,413,Not Less Than Gods,Kage Baker,score: 210,3 people voted, 3.61 avg rating — 465 ratings
413,413,Changing Planes,Ursula K. Le Guin,score: 210,3 people voted," 3.81 avg rating — 3,931 ratings"
414,413,"The Heritage of Hastur (Darkover, #18)",Marion Zimmer Bradley,score: 210,3 people voted," 4.03 avg rating — 3,012 ratings"
415,416,"Pure (Pure, #1)",Julianna Baggott,score: 208,3 people voted," 3.74 avg rating — 22,619 ratings"
416,417,"Born of the Night (The League, #1)",Sherrilyn Kenyon,score: 206,3 people voted," 4.19 avg rating — 24,017 ratings"
417,418,The Guild of Xenolinguists,Sheila Finch,score: 201,3 people voted, 3.48 avg rating — 83 ratings
418,418,"Moonstruck (Borderlands, #1)",Susan Grant,score: 201,4 people voted," 3.75 avg rating — 1,213 ratings"
419,420,"Broken (Extrahumans, #1)",Susan Jane Bigelow,score: 200,2 people voted, 3.49 avg rating — 404 ratings
420,420,"Freewill (Freewill, #1)",Elyse Draper,score: 200,2 people voted, 3.96 avg rating — 48 ratings
421,420,Reboot,Pippa Jay,score: 200,2 people voted, 4.47 avg rating — 15 ratings
422,420,Cavalcade,Alison Sinclair,score: 200,2 people voted, 3.69 avg rating — 59 ratings
423,420,Stronger,Lani Woodland,score: 200,2 people voted, 4.41 avg rating — 29 ratings
424,420,"An Airship Named Desire (Take to the Skies, #1)",Katherine McIntyre,score: 200,2 people voted, 3.73 avg rating — 86 ratings
425,420,Frontier Resistance,Leonie Rogers,score: 200,2 people voted, 4.24 avg rating — 124 ratings
426,420,Ultraxenopia (Project W.A.R. #1),M.A. Phipps,score: 200,2 people voted, 4.13 avg rating — 285 ratings
427,420,"Emergence (Project Emergence, #1)",Jamie Zakian,score: 200,2 people voted, 3.29 avg rating — 17 ratings
428,420,Blachart,Christina Engela,score: 200,2 people voted, 4.08 avg rating — 13 ratings
429,420,"No Ordinary Star (No Ordinary Star, #1)",M.C. Frank,score: 200,2 people voted, 3.98 avg rating — 281 ratings
430,420,"Republic's Chosen (After The World Ends, #1)",Rori I.,score: 200,2 people voted, 4.06 avg rating — 31 ratings
431,420,Search Image (Web Shifter's Library #1),Julie E. Czerneda,score: 200,2 people voted, 4.11 avg rating — 64 ratings
432,420,Insatiable Machine,Zoe Robertson,score: 200,2 people voted, 4.24 avg rating — 17 ratings
433,420,Astraeus,Haley Cavanagh,score: 200,2 people voted, 4.24 avg rating — 51 ratings
434,420,UNJU - The Jump,Gleneley Stander,score: 200,2 people voted,it was amazing 5.00 avg rating — 3 ratings
435,436,The Stolen: Two Short Stories,Michelle Browne,score: 199,2 people voted, 4.04 avg rating — 78 ratings
436,436,Broken Time,Emily Devenport,score: 199,2 people voted, 3.73 avg rating — 98 ratings
437,438,The Crooked God Machine,Autumn Christian,score: 198,2 people voted, 3.86 avg rating — 215 ratings
438,438,Frontier Incursion,Leonie Rogers,score: 198,2 people voted, 4.27 avg rating — 191 ratings
439,440,"Double Life (Razia, #1)",S. Usher Evans,score: 197,2 people voted, 3.97 avg rating — 158 ratings
440,440,"Magic Bleeds (Kate Daniels, #4)",Ilona Andrews,score: 197,3 people voted," 4.46 avg rating — 64,284 ratings"
441,440,"Semiosis (Semiosis Duology, #1)",Sue Burke,score: 197,2 people voted," 3.94 avg rating — 4,339 ratings"
442,443,"Hero's End (The Black Wing Chronicles, #2)",J.C. Cassels,score: 196,2 people voted, 4.17 avg rating — 46 ratings
443,443,"Binary (®Evolution, #2)",Stephanie Saulter,score: 196,2 people voted, 4.14 avg rating — 114 ratings
444,445,Shelter,Susan Palwick,score: 195,3 people voted, 3.88 avg rating — 293 ratings
445,445,Tales From The SFR Brigade,J.C. Cassels,score: 195,2 people voted, 3.67 avg rating — 326 ratings
446,445,"A Few Good Men (Darkship, #3)",Sarah A. Hoyt,score: 195,2 people voted, 3.73 avg rating — 218 ratings
447,448,Star Attraction,Misa Buckley,score: 194,2 people voted, 4.50 avg rating — 4 ratings
448,448,"Gunmetal Magic (Kate Daniels, #5.5)",Ilona Andrews,score: 194,3 people voted," 4.28 avg rating — 28,954 ratings"
449,448,"Angelfall (Penryn & the End of Days, #1)",Susan Ee,score: 194,2 people voted," 4.17 avg rating — 147,805 ratings"
450,451,"Stealer of Souls (Immortal, #3)",Valjeanne Jeffers,score: 193,2 people voted, 4.71 avg rating — 28 ratings
451,451,Thinner Than Thou,Kit Reed,score: 193,2 people voted, 3.17 avg rating — 370 ratings
