,title,series,number_in_series,score,vote,number_of_ratings
427,Emergence,Project Emergence,1,200,2 people voted,17
428,Blachart,-,-,200,2 people voted,13
429,No Ordinary Star,No Ordinary Star,1,200,2 people voted,281
430,Republic's Chosen,After The World Ends,1,200,2 people voted,31
431,Search Image,Web Shifter's Library ,1,200,2 people voted,64
432,Insatiable Machine,-,-,200,2 people voted,17
433,Astraeus,-,-,200,2 people voted,51
434,UNJU - The Jump,-,-,200,2 people voted,3
435,The Stolen: Two Short Stories,-,-,199,2 people voted,78
436,Broken Time,-,-,199,2 people voted,98
437,The Crooked God Machine,-,-,198,2 people voted,215
438,Frontier Incursion,-,-,198,2 people voted,191
439,Double Life,Razia,1,197,2 people voted,158
440,Magic Bleeds,Kate Daniels,4,197,3 people voted,"64,284"
441,Semiosis,Semiosis Duology,1,197,2 people voted,"4,339"
442,Hero's End,The Black Wing Chronicles,2,196,2 people voted,46
443,Binary,®Evolution,2,196,2 people voted,114
444,Shelter,-,-,195,3 people voted,293
445,Tales From The SFR Brigade,-,-,195,2 people voted,326
446,A Few Good Men,Darkship,3,195,2 people voted,218
447,Star Attraction,-,-,194,2 people voted,4
448,Gunmetal Magic,Kate Daniels,5.5,194,3 people voted,"28,954"
449,Angelfall,Penryn & the End of Days,1,194,2 people voted,"147,805"
450,Stealer of Souls,Immortal,3,193,2 people voted,28
451,Thinner Than Thou,-,-,193,2 people voted,370
452,Transcendence: Aurora Rising Book Three,Aurora Rhapsody,3,193,2 people voted,877
453,Time Shifters,-,-,193,2 people voted,44
454,Groundties,-,-,192,3 people voted,96
455,Heat,-,-,192,2 people voted,"1,845"
456,Hunted,Sinners,2,192,2 people voted,"1,093"
457,Spin Control,Spin Trilogy,2,191,3 people voted,974
458,Perseus Spur,Rampart Worlds ,1,191,2 people voted,630
459,Gethyon,-,-,191,2 people voted,24
460,"Lightspeed Magazine, June 2014: Women Destroy Science Fiction! Special Issue",-,-,191,3 people voted,598
461,The Kif Strike Back,Chanur,3,190,5 people voted,"2,238"
462,The Power,-,-,190,2 people voted,"105,824"
463,,,,189,3 people voted,834
464,Chanur's Legacy,Chanur ,5,189,4 people voted,"1,960"
465,Carve the Mark,Carve the Mark,1,189,2 people voted,"47,799"
466,Tin Cat,-,-,188,2 people voted,26
467,Crescent City Rhapsody,Nanotech,3,188,2 people voted,246
468,Her Cyborg Awakes,Diaspora Worlds,1,188,2 people voted,505
469,The House on the Strand,-,-,188,2 people voted,"8,416"
470,Ronan,Ziva Payvan,3,188,2 people voted,45
471,Fallen Too Far,"Rosemary Beach, #1; Too Far",1,187,2 people voted,"152,446"
472,Alanya to Alanya,-,-,186,2 people voted,97
473,Shadow Leader,Wolfwalker,2,186,2 people voted,561
474,Unknown Futures,1Night Stand ,76,186,2 people voted,49
475,Shadow Team GB,-,-,185,2 people voted,4
476,Glass and Amber,-,-,184,3 people voted,27
477,Alliance Space,Company Wars #2)(The Era of Rapprochement ,2,183,3 people voted,366
478,Pilots Choice,Liaden Universe,5-6,183,3 people voted,710
479,Dragondrums,Harper Hall,3,183,3 people voted,"30,614"
480,Origin,Lux,4,183,2 people voted,"77,976"
481,,,,182,3 people voted,"1,101"
482,Sunfall,-,-,181,3 people voted,333
483,Remake,-,-,180,4 people voted,"1,672"
484,Transformation Space,Sentients of Orion,4,180,2 people voted,102
485,The People of Sparks,-,-,180,2 people voted,"48,010"
486,Rebels and Lovers,Dock Five Universe,4,179,3 people voted,872
487,,,,179,3 people voted,692
488,Found,The Missing,1,179,2 people voted,"35,686"
489,Replica,Replica,1,178,2 people voted,949
490,The Golden Sword,Silistra,2,178,2 people voted,103
491,The Good House,-,-,177,2 people voted,"2,712"
492,The Complete Ivory,Ivory,1-3,177,3 people voted,259
493,Ratha's Creature,The Named,1,177,2 people voted,"1,935"
494,The Moon's Shadow,Saga of the Skolian Empire,8,177,2 people voted,793
495,Honor's Knight,Paradox ,2,177,2 people voted,"7,779"
496,Heaven's Queen ,Paradox ,3,177,2 people voted,"6,067"
497,Anthem,-,-,177,2 people voted,"120,808"
498,Enchanted Glass,-,-,176,2 people voted,"5,165"
499,Ghost in the Machine,Corwint Central Agent Files,1,176,2 people voted,325
500,The Hounds of Skaith,The Book of Skaith,2,175,2 people voted,290
501,Pandemonium,Delirium,2,175,2 people voted,"208,351"
502,The Planet Savers & The Sword of Aldones,Darkover,19-20,175,3 people voted,683
503,Damia,The Tower and the Hive,2,175,2 people voted,"11,160"
504,The Machine's Child,The Company,7,174,3 people voted,"1,220"
505,Sovran's Pawn,-,-,173,2 people voted,121
506,The Star Thief,Star Thief Chronicles,1,173,2 people voted,"1,755"
507,Heavy Time,The Company Wars,4,172,3 people voted,"1,559"
508,End of Days,Penryn & the End of Days,3,172,2 people voted,"49,101"
509,A Thousand Pieces of You,Firebird,1,172,2 people voted,"40,836"
510,Razor's Edge,Star Wars: Empire and Rebellion,1,171,3 people voted,"2,210"
511,Starbridge,Starbridge,1,171,2 people voted,441
512,Kalpa Imperial: The Greatest Empire That Never Was,-,-,170,2 people voted,757
513,The Summer Queen,The Snow Queen Cycle,3,170,3 people voted,"3,018"
514,Downside Girls,-,-,168,2 people voted,86
515,Starheart,Ptorix Empire,3,168,2 people voted,78
516,Ancient Light,Orthe ,2,168,2 people voted,346
517,Golden Witchbreed,Orthe ,1,168,2 people voted,986
518,Mirror Space,Sentients of Orion,3,167,2 people voted,114
519,Feed,Newsflesh Trilogy,1,167,2 people voted,"48,179"
520,The Two Of Them,-,-,166,2 people voted,186
521,The Awakening,Vampire Huntress,2,166,2 people voted,"3,341"
522,Venus of Dreams,-,-,166,2 people voted,192
523,Outside,-,-,166,2 people voted,86
524,A Ring of Endless Light,Austin Family,4,166,2 people voted,"17,762"
525,Jagannath,-,-,166,2 people voted,"2,616"
526,Herland,-,-,165,4 people voted,"12,865"
527,A Mere Formality,-,-,164,2 people voted,"2,352"
528,The Hundred Thousand Kingdoms,Inheritance Trilogy,1,164,2 people voted,"42,876"
529,DarkShip Thieves,Darkship,1,163,2 people voted,"1,672"
530,Superluminal,-,-,163,3 people voted,220
531,Ghost Planet,-,-,163,3 people voted,"1,539"
532,The Vulcan Academy Murders,-,-,163,2 people voted,"1,754"
533,,,,162,3 people voted,538
534,Pangaea  Book I: Imperium Without End,-,-,161,2 people voted,22
535,Keir,-,-,161,2 people voted,243
536,Key Out of Time,Time Traders / Ross Murdock ,4,161,2 people voted,"1,206"
537,Wreck of the Nebula Dream,-,-,160,2 people voted,287
538,Æstival Tide,-,-,159,2 people voted,266
539,The House Between the Worlds,-,-,159,2 people voted,859
540,Pilgrimage: The Book of the People,-,-,157,3 people voted,"1,318"
541,The Bones of the Sea,-,-,156,2 people voted,34
542,Hexwood,-,-,154,2 people voted,"3,865"
543,Brain Camp,-,-,154,2 people voted,"3,464"
544,Glass Houses,The Morganville Vampires,1,154,2 people voted,"87,644"
545,Ironhaven,-,-,154,2 people voted,23
546,Tinker,Elfhome,1,154,5 people voted,"4,873"
547,Many Waters,Time Quintet,4,153,2 people voted,"40,337"
548,The Key,Project Enterprise,1,152,2 people voted,472
549,The Time Travelers,The Gideon Trilogy,1,152,2 people voted,"6,154"
550,Celestial Seduction,1Night Stand,17,151,2 people voted,142
551,Nylon Angel,Parrish Plessis,1,150,2 people voted,617
552,Cloud's Rider,Finisterre ,2,149,3 people voted,773
553,The Telling,Hainish Cycle ,8,149,2 people voted,"5,088"
554,Stretto,-,-,148,2 people voted,25
555,Moreta: Dragonlady of Pern,Pern,7,148,4 people voted,"24,861"
556,America Pacifica,-,-,148,2 people voted,962
557,Renegade,-,-,145,2 people voted,38
558,An Exchange of Hostages,Jurisdiction,1,145,2 people voted,443
559,Tangled Up in Blue,The Snow Queen Cycle,4,145,4 people voted,558
560,Burn for Me,Hidden Legacy,1,145,2 people voted,"33,484"
561,Testament,Harmony of Worlds,1,144,2 people voted,55
562,Daughters of the North,-,-,144,2 people voted,"3,382"
563,Silently and Very Fast,-,-,144,2 people voted,"1,529"
564,Magic Gifts,Kate Daniels,5.4,144,2 people voted,"17,566"
565,Unraveled,UN-Forgettable,2,143,2 people voted,259
566,The Exile Waiting,-,-,141,3 people voted,355
567,The Girl Who Was Plugged In/Screwtop,-,-,140,3 people voted,283
568,The Lost Steersman,The Steerswoman,3,139,2 people voted,"1,144"
569,The Eyes of the Beholders,Star Trek: The Next Generation,13,139,2 people voted,987
570,Hestia,-,-,138,3 people voted,402
571,Migration,Species Imperative,2,138,2 people voted,"1,229"
572,Gate of Ivrel,-,-,138,4 people voted,"2,207"
573,The Visitor,-,-,137,2 people voted,"1,699"
574,The Language of Power,The Steerswoman,4,137,2 people voted,"1,011"
575,Promised,Birthmarked,3,137,2 people voted,"13,880"
576,Darkship Renegades,Darkship,2,137,2 people voted,373
577,The Age of Miracles,-,-,136,2 people voted,"78,482"
578,A Drunken Dream and Other Stories,-,-,136,2 people voted,853
579,"Spirit: or, The Princess of Bois Dormant",-,-,135,2 people voted,101
580,Prized,Birthmarked,2,135,2 people voted,"22,403"
581,Uplink,Netwalkers,2,134,2 people voted,60
582,In the Light of Sigma Draconis,A Woman of the Iron People,1,134,2 people voted,35
583,Altered,Crewel World,2,134,2 people voted,"4,417"
584,Driven,Northern Waste,1,133,3 people voted,"1,740"
585,Birthmarked,Birthmarked,1,133,2 people voted,"43,378"
586,My Soul to Keep,African Immortals,1,132,2 people voted,"3,966"
587,Arachne,-,-,132,2 people voted,77
588,The Birthgrave,Birthgrave,1,132,3 people voted,"1,364"
589,The Program,The Program,1,131,2 people voted,"39,638"
590,Crewel,Crewel World,1,131,2 people voted,"17,088"
591,Jenna Starborn,-,-,130,2 people voted,"1,911"
592,Mindplayers,-,-,129,2 people voted,574
593,Adventures in Time and Space with Max Merriwell,-,-,129,2 people voted,170
594,Nebula's Music,-,-,127,2 people voted,28
595,The Lancaster Rule,Lancaster,1,127,2 people voted,41
596,"After the Fall, Before the Fall, During the Fall",-,-,127,3 people voted,"2,404"
597,Fools,-,-,126,2 people voted,362
598,Wolf Who Rules,Elfhome,2,126,4 people voted,"2,823"
599,Dark Space,Sentients of Orion,1,125,2 people voted,318
600,Brothers of Earth,Hanan Rebellion ,1,123,2 people voted,506
601,,,,123,2 people voted,151
602,Hellspark,-,-,122,2 people voted,739
603,Falcon,-,-,120,2 people voted,478
604,Beholder's Eye,Web Shifters,1,120,2 people voted,"1,520"
605,Hope's Folly,Dock Five Universe,3,120,2 people voted,"1,328"
606,Hunter of Worlds,Hanan Rebellion ,2,119,2 people voted,568
607,Breathe,Breathe,1,119,2 people voted,"16,207"
608,XVI,XVI,1,119,2 people voted,"7,615"
609,The Anything Box,-,-,118,2 people voted,699
610,Forge of Heaven,The Gene Wars,2,117,4 people voted,678
611,Up the Walls of the World,-,-,117,2 people voted,632
612,Wraeththu,Wraeththu ,1-3,116,2 people voted,"2,482"
613,Hunters of the Red Moon,-,-,115,2 people voted,"1,037"
614,vN,The Machine Dynasty,1,113,2 people voted,"2,673"
615,Ten Thousand Light-Years From Home,-,-,113,2 people voted,522
616,The Stars Down Under,The Outback Stars ,2,112,3 people voted,239
617,Karen Memory,Karen Memory,1,111,2 people voted,"3,918"
618,The Creative Fire,Ruby's Song ,1,109,2 people voted,223
619,Burndive,Warchild ,2,109,2 people voted,799
620,Crystal Line,Crystal Singer ,3,107,2 people voted,"10,289"
621,Cagebird,Warchild ,3,106,2 people voted,714
622,North Wind,White Queen,2,105,2 people voted,70
623,Principles of Angels,-,-,105,2 people voted,248
624,Caught in Amber,-,-,104,2 people voted,161
625,Blue Galaxy,-,-,103,2 people voted,78
626,Made for Her,-,-,103,2 people voted,57
627,The Mirror,-,-,102,2 people voted,"4,269"
628,The Ginger Star,The Book of Skaith,1,100,1 person voted,419
629,The Immortality Virus,-,-,100,1 person voted,154
630,An Uncommon Whore,An Uncommon Whore ,1,100,1 person voted,"2,018"
631,Astra: The Harrowing,-,-,100,1 person voted,41
632,A Matter of Honor,Knife of Truth,1,100,2 people voted,21
633,The Edge of Darkness,-,-,100,1 person voted,52
634,Dreamer's Island,-,-,100,1 person voted,20
635,Singularity,Sanctuary series ,3,100,1 person voted,
636,The Cantor Dimension,-,-,100,1 person voted,20
637,Wolf Dawn,Forsaken Worlds,1,100,1 person voted,307
638,"Tierra del Fuego, Colony Ship; Parting Shots",-,-,100,1 person voted,19
639,21 Erased,-,-,100,1 person voted,42
640,The Marcella Fragment,-,-,100,1 person voted,23
641,The Willow and the Stone,-,-,100,1 person voted,4
642,The Priest,Ginecean Chronicles,1,100,1 person voted,162
643,Sunburst,-,-,100,1 person voted,62
644,Blood and Matzah,-,-,100,1 person voted,13
645,Dementional,-,-,100,1 person voted,18
646,A week in the future : Catherine Helen Spence's 1888 forecast of life in 1988,-,-,100,1 person voted,13
647,Dream of Time,-,-,100,1 person voted,66
648,Bounty Hunter,-,-,100,1 person voted,89
649,The Earth Girl and Queen Eliza,-,-,100,1 person voted,36
650,The Neanderthal's Aunt,-,-,100,1 person voted,92
651,Legendary Detective at the World's End,-,-,100,1 person voted,195
652,Time Travels: The First Adventures,-,-,100,1 person voted,8
653,Legacy Code,Legacy Code ,1,100,1 person voted,"1,782"
654,Women's Work,-,-,100,1 person voted,121
655,Fomatsu,-,-,100,1 person voted,5
656,The Third Sign,-,-,100,1 person voted,98
657,Natural History,-,-,100,1 person voted,607
658,Cimmerian City,Cimmerian,1,100,1 person voted,24
659,Ange'el,-,-,100,1 person voted,20
660,Dining Out Around the Solar System,Dining Out Around The Solar System,1,100,1 person voted,39
661,The Extraction List,The Extraction List,1,100,1 person voted,90
662,The Ark,-,-,100,1 person voted,61
663,Genetically Altered,Genetically Modified,1,100,1 person voted,14
664,Dog Aliens 1: Raffle's Name,Dog Aliens ,1,100,1 person voted,306
665,Falaha's Journey: A Spacegirl's Account in Three Movements,-,-,100,1 person voted,16
666,Dark Prophet,The Chronicles of Koa ,2,100,1 person voted,176
667,Lessons in Space,-,-,100,1 person voted,4
668,The Least of Elves,Azetha,0.5,100,1 person voted,34
669,The Dream Crystals of Gandara,-,-,100,1 person voted,6
670,Compile: Quest,The Corrupted SUN Script,1,100,1 person voted,47
671,The Crossing Hour,-,-,100,1 person voted,46
672,Return to Emerald City,-,-,100,1 person voted,11
673,Gemsigns,®Evolution,1,100,1 person voted,419
674,Where the Deer Dwell,-,-,100,1 person voted,67
675,Hero is a Man,Glyph Warrior ,1,100,1 person voted,28
676,Transmutation of Noah,-,-,100,1 person voted,3
677,Amber Smoke,The Escaped ,1,100,1 person voted,"1,291"
678,Captured By The Hunter,-,-,100,1 person voted,10
679,Time's Tempest,The Chronicles of Xannia,1,100,1 person voted,25
680,The Webs of Varok,The Archives of Varok ,2,100,1 person voted,13
681,Nothing But Your Memories,-,-,100,1 person voted,15
682,,,,100,1 person voted,21
683,The Generation,-,-,100,1 person voted,93
684,Talismen: Birthstones,-,-,100,1 person voted,2
685,The Battle of Castle Nebula,The Cendrillon Cycle,1,100,1 person voted,52
686,A Far Far Better Thing,Legends of the Goldens ,1,100,1 person voted,34
687,Connected: The Call,-,-,100,1 person voted,42
688,Vagabond,-,-,100,1 person voted,74
689,Crossing in Time,Between Two Evils,1,100,1 person voted,449
690,,,,100,1 person voted,109
691,The Adventures of Armstrong Dent: The Complete First Season,-,-,100,1 person voted,25
692,The In-Betweener,-,-,100,1 person voted,732
693,Talwan's Vengeance,-,-,100,1 person voted,19
694,Revealing the Revolution,AIM Chronicles,1,100,1 person voted,12
695,Being Human,-,-,100,1 person voted,24
696,Earth,The Invasion Trilogy ,1,100,1 person voted,105
697,Dreamland Tree,-,-,100,1 person voted,4
698,Mars on the Rise,Veetu Industries,1,100,1 person voted,72
699,Deadly Lover,-,-,100,1 person voted,94
700,The Ghost Files,The Ghost Files,1,100,1 person voted,"7,939"
701,Lahkia: Heir of Darkness,-,-,100,1 person voted,13
702,The Vista,The Wildblood,1,100,1 person voted,14
703,Lazarus Code,-,-,100,1 person voted,13
704,The Stars Seem so Far Away,-,-,100,1 person voted,33
705,The Nyxers,-,-,100,1 person voted,
706,Waterstone,-,-,100,1 person voted,13
707,Uncommon Animals: Omnibus Edition,-,-,100,1 person voted,6
708,The Memory Painter,-,-,100,1 person voted,"2,863"
709,Above the Sky,Above the Sky ,1,100,1 person voted,299
710,Population,Population,1,100,1 person voted,294
711,The Mirror Empire,Worldbreaker Saga,1,100,1 person voted,"4,013"
712,Laira,-,-,100,1 person voted,
713,The Human and the Hunted,Rise of the Great Assembly,1,100,1 person voted,3
714,The Right Thing Hurts,-,-,100,1 person voted,14
715,The Toxic Children,-,-,100,1 person voted,4
716,The Cerulean Star: LIBERTY,-,-,100,1 person voted,25
717,Salvage,-,-,100,1 person voted,0
718,For A Brother's Honor,The Protectorit,3,100,1 person voted,36
719,Passage of Destiny,-,-,100,1 person voted,2
720,Illuminae,The Illuminae Files,1,100,1 person voted,"86,873"
721,Off-Worlders,-,-,100,1 person voted,
722,Wide Awake Asleep,-,-,100,1 person voted,20
723,Leviathan's Deep,-,-,100,1 person voted,48
724,Sand Runner,Sand Runner,1,100,1 person voted,49
725,Le Goût de l'immortalité,-,-,100,1 person voted,106
726,Caledonia,Caledonia ,1,100,1 person voted,38
727,The Continuum,Place in Time,1,100,1 person voted,213
728,Sputnik's Children,-,-,100,1 person voted,141
729,Free Beast,-,-,100,1 person voted,3
730,Vicious,Villains,1,100,1 person voted,"65,929"
731,Kingdom of Women,-,-,100,1 person voted,30
732,After Bees,-,-,100,1 person voted,67
733,Dawn Among the Stars,-,-,100,1 person voted,48
734,The Solterian Keeper and the Enchanted Talisman,-,-,100,1 person voted,4
735,The Rise of Saint Fox and The Independence,-,-,100,1 person voted,3
736,Mary Brooks:  A matter of time,-,-,100,1 person voted,2
737,,,,100,1 person voted,2
738,The Antithesis: Renovatio,-,-,100,1 person voted,52
739,,,,100,1 person voted,12
740,The Prisoner,Olrona ,1,100,1 person voted,21
741,,,,100,1 person voted,70
742,Carmen Dog,-,-,100,1 person voted,219
743,After Annihilation: Would you want to survive?,-,-,100,1 person voted,63
744,Elementals: Mystic Warriors,-,-,100,1 person voted,36
745,The Samurai's Lover,Keepers of Xereill,4,100,1 person voted,53
746,Träume Digitaler Schläfer,-,-,100,1 person voted,7
747,Leaning On Water,-,-,100,1 person voted,35
748,Healing in His Wings,Healing ,1,99,1 person voted,339
749,Astra: The Reckoning,-,-,99,1 person voted,41
750,To Indigo,-,-,99,1 person voted,14
751,,,,99,1 person voted,2
752,Evolve,-,-,99,1 person voted,13
753,Pax in the Land of Women,The Ginecean Chronicles,2,99,1 person voted,31
754,The Highest Frontier,-,-,99,1 person voted,416
755,The Earth Boy and Mr. Brown / Robots in Love,-,-,99,1 person voted,19
756,Into the Forest,-,-,99,1 person voted,"10,039"
757,Limit of Vision,-,-,99,1 person voted,272
758,Silver Screen,-,-,99,1 person voted,251
759,The Ophelia Prophecy,-,-,99,1 person voted,306
760,A Feast of Shadows,Cimmerian,2,99,1 person voted,6
761,Paragon,Legacy Code,2,99,1 person voted,542
762,Last Night in Ghosttown,-,-,99,1 person voted,6
763,Netherworld,The Chronicles of Koa ,1,99,1 person voted,466
764,The Amazing Wolf Boy,-,-,99,1 person voted,35
765,Changeling: Book Three of the Seeder Saga,-,-,99,1 person voted,11
766,Children Of The Mist,-,-,99,1 person voted,14
767,Charango,-,-,99,1 person voted,3
768,Earth Flight,Earth Girl,3,99,1 person voted,"1,306"
769,The Fifth Sacred Thing,-,-,99,1 person voted,"5,277"
770,Starfighter Chapter 3,Starfighter,3,99,1 person voted,507
771,,,,99,1 person voted,8
772,Forever Between,Between Life and Death,2,99,1 person voted,195
773,The Return,-,-,99,1 person voted,19
774,Roth,The Invasion Trilogy ,2,99,1 person voted,42
775,Dreams of Origami,-,-,99,1 person voted,27
776,Writers Workshop of Science Fiction & Fantasy,-,-,99,1 person voted,87
777,Selling Mars,Veetu Industries,2,99,1 person voted,22
778,Rosehead,-,-,99,1 person voted,365
779,Homo Ex Machina,-,-,99,1 person voted,
780,Ecstatic Inferno,-,-,99,1 person voted,55
781,Red Queen,Red Queen,1,99,1 person voted,"445,017"
782,Beating Heart Cadavers,-,-,99,1 person voted,11
783,For the Honor of Black Roses,The Protectorit,2,99,1 person voted,64
784,Grasp the Stars,-,-,99,1 person voted,81
785,Proof of Concept,-,-,99,1 person voted,210
786,No Plain Rebel,No Ordinary Star,2,99,1 person voted,129
787,,,,99,1 person voted,35
788,Touch,-,-,99,1 person voted,"8,688"
789,Crypto,-,-,99,1 person voted,17
790,WYRFORRA,-,-,99,1 person voted,11
791,The Fisherman and the Gene Thief,-,-,99,1 person voted,
792,All the Birds in the Sky,-,-,99,1 person voted,"31,336"
793,Larque on the Wing,-,-,99,1 person voted,116
794,The Slynx,-,-,99,1 person voted,"3,328"
795,The Reavers of Skaith ,The Book of Skaith,3,98,1 person voted,237
796,Hot Cargo,Healing ,2,98,1 person voted,366
797,Astra: Synchronicity,-,-,98,1 person voted,162
798,Severance,Sanctuary Series ,2,98,1 person voted,5
799,Starpilot's Grave,Mageworlds,2,98,2 people voted,699
800,Delirium,Debt Collector,1,98,1 person voted,582
801,iD,The Machine Dynasty,2,98,1 person voted,587
802,Tech-Heaven,The Nanotech Succession,0,98,1 person voted,240
803,Cold Warriors,-,-,98,1 person voted,46
804,An Officer's Duty,Theirs Not to Reason Why,2,98,2 people voted,"3,100"
805,Heritage Of The Star,-,-,98,1 person voted,296
806,Sky Woman: Book One of the Seeder Saga,-,-,98,1 person voted,30
807,Son of Avonar,The Bridge of D'Arnath,1,98,1 person voted,"2,951"
808,Earth Star,Earth Girl,2,98,1 person voted,"1,833"
809,Slated,Slated,1,98,1 person voted,"23,124"
810,"Beast, Part One",Beast,1,98,1 person voted,"3,534"
811,Shkarr,-,-,98,1 person voted,15
812,,,,98,1 person voted,11
813,Yankari: A Talking Earth Tale,-,-,98,1 person voted,32
814,Lost Whispers,-,-,98,1 person voted,16
815,Oden,The Invasion Trilogy ,3,98,1 person voted,34
816,Miriam's Talisman,-,-,98,1 person voted,59
817,The Eve of War,Veetu Industries,3,98,1 person voted,6
818,The Lottery and Other Stories,-,-,98,1 person voted,"58,009"
819,Dragonsdawn,Pern,9,98,1 person voted,"32,040"
820,Dogsbody,-,-,98,1 person voted,"5,926"
821,The Protectorit,The Protectorit,1,98,1 person voted,99
822,Heartless,-,-,98,1 person voted,"67,071"
823,No Vain Loss,No Ordinary Star,3,98,1 person voted,82
824,The Inheritance Trilogy,Inheritance,1-3.5,98,1 person voted,"4,354"
825,The Phoenix Code,-,-,98,1 person voted,340
826,Fever Rising,-,-,98,1 person voted,21
827,The Fisherman and the Sperm Thief,-,-,98,1 person voted,6
828,"Love's Body, Dancing In Time",-,-,98,1 person voted,35
829,The Light of the Earth As Seen from Tartarus,-,-,97,1 person voted,33
830,Something About Harry,Healing ,3,97,1 person voted,153
831,Sanctuary,Sanctuary Series,1,97,1 person voted,14
832,When the Silence Ends,-,-,97,1 person voted,51
833,Arkfall,-,-,97,1 person voted,140
834,Stealing the Elf-King's Roses,-,-,97,1 person voted,475
835,Of Wind and Sand,-,-,97,1 person voted,47
836,Megan’s Double Miracle,Men of Space Station One,9,97,1 person voted,85
837,Rain In The Moonlight: Book Two of the Seeder Saga,-,-,97,1 person voted,11
838,Earth 2788,Earth Girl,0.25,97,1 person voted,198
839,Real,Real,1,97,1 person voted,"95,522"
840,The Violet and the Tom,-,-,97,1 person voted,"2,470"
841,,,,97,1 person voted,12
842,Strikers,Strikers ,1,97,1 person voted,324
843,Descent,Forgotten Origins Trilogy,3,97,1 person voted,76
844,Rift in the Sky,Stratification,3,97,1 person voted,502
845,Looking for a Hero,-,-,97,1 person voted,2
846,Lightless,Lightless ,1,97,1 person voted,"2,313"
847,Sappho's Agency,-,-,97,1 person voted,4
848,Outbreak,Dr. Marissa Blumenthal,1,97,1 person voted,"52,654"
849,The Spacer's Blade and Other Stories,-,-,96,1 person voted,9
850,Points of Departure,-,-,96,1 person voted,115
851,The Switch II: Clockwork,-,-,96,1 person voted,21
852,,,,96,2 people voted,567
853,Earthseed,Seed,1,96,1 person voted,654
854,A Legacy of Stars,-,-,96,1 person voted,14
855,The Temple at Landfall,Celaeno,3,96,1 person voted,698
856,Deception Well,The Nanotech Succession,2,96,1 person voted,327
857,Making Them Happy,The Men of Space Station One,8,96,1 person voted,88
858,Night's Daughter,-,-,96,1 person voted,469
859,When The Stars Walk Backwards,-,-,96,1 person voted,19
860,This Girl,Slammed,3,96,1 person voted,"67,219"
861,Die Klangweberin,-,-,96,1 person voted,44
862,,,,96,1 person voted,12
863,Flying Season for the Mis-Recorded,Silo 49,4,96,1 person voted,366
864,Never Fade,The Darkest Minds,2,96,1 person voted,"66,804"
865,The Transfer,Divergent,0.1,96,1 person voted,"49,713"
866,The Heart of Valor,Confederation,3,96,2 people voted,"4,738"
867,Andra,-,-,96,1 person voted,121
868,Lives of the Monster Dogs,-,-,96,1 person voted,"2,221"
869,Company Town,-,-,96,1 person voted,"4,233"
870,The Marrow Thieves,-,-,96,1 person voted,"7,259"
871,Green Mars,Mars Trilogy,2,96,1 person voted,"29,617"
872,Behind the Throne,The Indranan War ,1,96,1 person voted,"2,505"
873,Peking falten,-,-,96,1 person voted,172
874,Grandmere's Secret,-,-,95,1 person voted,18
875,Grazing the Long Acre,-,-,95,1 person voted,12
876,After the Fall,-,-,95,1 person voted,230
877,The Tale of the Five: The Sword and the Dragon,-,-,95,1 person voted,71
878,Memory,-,-,95,1 person voted,381
879,Winning Colors,The Serrano Legacy,3,95,3 people voted,"2,990"
880,,,,95,1 person voted,"1,279"
881,Two Men for Piper,The Men of Space Station One,7,95,1 person voted,97
882,Contract of Betrayal,Spectras Arise Trilogy,2,95,1 person voted,90
883,The Shining Girls,-,-,95,1 person voted,"35,866"
884,The Invisible Guardian,Baztán ,1,95,1 person voted,"8,784"
885,Wait for You,Wait for You,1,95,1 person voted,"126,001"
886,Starters,Starters,1,95,1 person voted,"38,855"
887,,,,95,1 person voted,15
888,Dark Till Dawn,Silo 49,3,95,1 person voted,634
889,Raging Star,Dust Lands,3,95,1 person voted,"7,743"
890,The Son,Divergent,0.3,95,1 person voted,"16,437"
891,Quest for Earth,-,-,95,1 person voted,11
892,The Abyss Surrounds Us,The Abyss Surrounds Us,1,95,1 person voted,"3,983"
893,After the Crown,The Indranan War,2,95,1 person voted,"1,392"
894,The Birthday of the World and Other Stories,-,-,95,1 person voted,"3,710"
895,Sweet Child of Time: Episode Seven of The Chronicles of the Harekaiian,-,-,95,1 person voted,
896,The Chronicles of Mavin Manyshaped,The Chronicles of Mavin Manyshaped,1-3,94,1 person voted,313
897,Wind Follower,-,-,94,1 person voted,74
898,The Time of Legend,Immortal,2,94,1 person voted,42
899,Omnitopia Dawn,Omnitopia,1,94,1 person voted,824
900,Elfhome,Elfhome,3,94,3 people voted,"2,402"
901,A Soldier's Duty,Theirs Not to Reason Why,1,94,2 people voted,"4,199"
902,Contract of Defiance,Spectras Arise Trilogy,1,94,1 person voted,202
903,Eon: Dragoneye Reborn,Eon,1,94,1 person voted,"51,352"
904,Walking Disaster,Beautiful,2,94,1 person voted,"155,728"
905,,,,94,1 person voted,20
906,Deep Dark,Silo 49,2,94,1 person voted,919
907,Rebel Heart,Dust Lands,2,94,1 person voted,"18,775"
908,Aspho Fields,Gears of War,1,94,1 person voted,"3,083"
909,Falling in Love with Hominids,-,-,94,1 person voted,745
910,The Elite,The Selection,2,94,1 person voted,"339,818"
911,The Traitor,Divergent,0.4,94,1 person voted,"16,602"
912,Shades of Treason,Anomaly ,1,94,1 person voted,661
913,Sight,The Delta Girls ,1,94,1 person voted,92
